Acc_x (mg),Acc_y (mg),Acc_z (mg),Gyro_x(rad/s),Gyro_y(rad/s),Gyro_z(rad/s),dt(s),Roll(degree),Pitch(degree),Yaw(degree)
87.542704,185.48458,-689.565313,-0.172884,0.695963,0.291869,0.00245,166.598189,5.396312,101.723161
68.081991,186.594606,-695.633713,-0.105074,0.723395,0.252497,0.00245,166.56872,5.223627,101.710446
47.645193,183.528729,-703.934782,-0.042763,0.722518,0.212761,0.002425,166.551019,5.063698,101.703504
27.879453,182.115611,-711.534895,0.016952,0.693002,0.172739,0.00245,166.543495,4.917649,101.701188
15.495364,201.200414,-723.977048,0.071628,0.647483,0.132728,0.00245,166.537379,4.785463,101.702327
7.137628,217.867684,-736.798246,0.116834,0.608865,0.096061,0.00245,166.532619,4.664099,101.706822
-4.20937,227.632222,-745.035032,0.162193,0.589702,0.067409,0.002475,166.531765,4.550773,101.71451
-21.717911,226.975029,-755.590891,0.209537,0.573658,0.046861,0.002425,166.538767,4.44979,101.724424
-39.531479,223.688426,-764.820984,0.254896,0.528256,0.025074,0.00245,166.55478,4.362441,101.736138
-53.989751,231.944593,-777.04589,0.298575,0.458426,0.009794,0.00245,166.575006,4.290988,101.747514
-72.291362,233.864102,-784.42829,0.326066,0.364535,-0.009248,0.00245,166.599044,4.240233,101.758424
-84.126403,226.165529,-793.815948,0.346072,0.240689,-0.022295,0.002425,166.629035,4.211694,101.767246
-80.466081,217.379228,-819.938557,0.380435,0.146208,-0.023435,0.00245,166.669776,4.193532,101.773655
-78.513909,218.625257,-846.08922,0.411133,0.12184,-0.017856,0.00245,166.716471,4.176999,101.778622
-82.235237,222.654127,-864.06786,0.43282,0.161167,-0.003612,0.00245,166.766095,4.155491,101.782886
-90.287945,226.240133,-880.959816,0.456186,0.236791,0.017733,0.00245,166.818929,4.125402,101.786632
-100.353831,225.955397,-893.370805,0.474666,0.311713,0.036718,0.002425,166.874571,4.088251,101.790165
-113.836018,223.901374,-903.314374,0.486273,0.362053,0.054173,0.00245,166.933621,4.047651,101.792991
-125.305027,223.544724,-918.624634,0.492077,0.385467,0.072057,0.00245,166.994393,4.006752,101.794125
-135.980966,226.588943,-931.069416,0.486884,0.391123,0.09409,0.00245,167.053899,3.967573,101.792331
-147.266959,214.093424,-941.644848,0.470542,0.380727,0.120359,0.002425,167.114734,3.93316,101.786912
-158.613958,195.945355,-948.157233,0.446412,0.343618,0.151499,0.00245,167.178397,3.905954,101.776344
-163.921425,193.510123,-953.803947,0.419991,0.284826,0.189477,0.002475,167.239231,3.886665,101.75854
-162.030259,196.988549,-959.818132,0.37677,0.210279,0.231759,0.00245,167.291897,3.875907,101.732685
-149.219131,213.460229,-962.722116,0.332633,0.145898,0.28019,0.00245,167.332523,3.868113,101.697803
-133.662762,229.506648,-964.347303,0.287579,0.116539,0.32711,0.00245,167.361219,3.857768,101.65521
-117.61835,230.919012,-957.812603,0.238249,0.130487,0.376658,0.00245,167.38151,3.839208,101.606161
-107.61347,237.382841,-945.832149,0.202054,0.173511,0.423299,0.002425,167.393127,3.811064,101.552367
-93.399219,240.682717,-932.651304,0.175785,0.219832,0.45989,0.00245,167.39887,3.770985,101.494279
-84.797462,234.901314,-918.154102,0.15868,0.253053,0.482114,0.00245,167.402765,3.723548,101.434208
-78.086872,227.147499,-901.926393,0.150586,0.279406,0.500844,0.00245,167.406644,3.670459,101.372458
-72.352367,210.287365,-890.153006,0.145088,0.287407,0.513545,0.00245,167.414416,3.614642,101.309515
-68.081991,209.468472,-882.387136,0.147226,0.290343,0.521763,0.002425,167.421967,3.557834,101.246159
-61.981454,214.984825,-876.519039,0.147684,0.300813,0.525945,0.00245,167.427319,3.497137,101.181751
-56.429966,216.141356,-866.222026,0.154098,0.326711,0.531235,0.00245,167.432322,3.431351,101.117335
-53.806735,216.919404,-862.593185,0.164331,0.373383,0.543593,0.002475,167.438346,3.357593,101.051967
-52.708638,217.250918,-858.129164,0.17548,0.430433,0.553837,0.0024,167.445006,3.278273,100.988873
-54.599805,220.559451,-852.465601,0.187392,0.492095,0.567829,0.002475,167.452225,3.188793,100.923698
-55.575891,210.969422,-844.438528,0.195487,0.543611,0.579598,0.002425,167.462936,3.094945,100.85994
-57.406052,205.097653,-839.173679,0.207094,0.582454,0.588552,0.002475,167.477365,2.994855,100.794914
-57.101025,205.406484,-832.20854,0.21977,0.612996,0.594774,0.0024,167.492188,2.894286,100.731872
-59.602245,198.402567,-827.459878,0.234889,0.641217,0.596844,0.002475,167.512036,2.788157,100.66754
-62.04246,195.297255,-827.31097,0.256729,0.680302,0.60209,0.00245,167.535833,2.679235,100.604343
-68.265007,195.76139,-827.954039,0.280554,0.724215,0.608154,0.00245,167.562853,2.567095,100.541595
-74.914592,190.830412,-821.089989,0.304226,0.766802,0.619868,0.002425,167.594002,2.453522,100.479167
-92.972182,180.609738,-815.71727,0.333549,0.789434,0.632392,0.002475,167.633259,2.341612,100.414472
-104.563202,179.823034,-811.828829,0.364858,0.77166,0.650656,0.002425,167.675792,2.239514,100.347976
-115.11713,191.489112,-808.403305,0.393417,0.71298,0.673443,0.00245,167.717798,2.148079,100.275632
-119.692533,249.394045,-800.148005,0.421824,0.628849,0.703751,0.00245,167.741251,2.069209,100.195734
-122.681796,328.076266,-796.857204,0.447328,0.53696,0.758437,0.00245,167.739717,2.001855,100.104602
-115.9102,346.217554,-799.933533,0.457255,0.436641,0.837029,0.002425,167.732876,1.944255,100.000614
-98.096633,328.96773,-805.733949,0.468099,0.339324,0.918207,0.00245,167.734324,1.890399,99.881819
-83.821376,295.478719,-805.88143,0.474208,0.255638,0.996778,0.00245,167.747794,1.841037,99.750161
-71.498292,258.204151,-794.697923,0.470084,0.153116,1.06403,0.00245,167.772217,1.800049,99.606611
-42.520742,203.282921,-797.240526,0.482913,0.046755,1.132263,0.00245,167.818607,1.760961,99.451162
-14.641288,179.367844,-803.476366,0.5046,-0.010406,1.188035,0.002425,167.876579,1.717911,99.288298
10.00488,159.631876,-793.06677,0.516054,-0.027682,1.242966,0.0025,167.944347,1.665167,99.112335
29.099561,154.405534,-779.065989,0.538505,-0.036164,1.281134,0.002425,168.01388,1.606361,98.93619
42.825769,157.71793,-762.999805,0.56798,-0.051442,1.305474,0.00245,168.085255,1.543232,98.75431
48.8653,154.839661,-738.171894,0.593638,-0.10186,1.3131,0.00245,168.158993,1.484215,98.569846
57.711079,155.972851,-721.363619,0.63075,-0.191454,1.309184,0.00245,168.235634,1.433848,98.383251
65.519766,167.265255,-702.987114,0.680385,-0.292456,1.300397,0.002425,168.311384,1.394126,98.196711
76.1347,159.195268,-694.227553,0.732311,-0.399809,1.287924,0.00245,168.397533,1.364733,98.006978
87.176672,153.377619,-696.406662,0.802412,-0.476439,1.278892,0.00245,168.495812,1.341674,97.816412
96.754514,148.906159,-701.653716,0.86793,-0.516878,1.274741,0.00245,168.605195,1.320743,97.625381
105.417277,134.651709,-704.997067,0.929936,-0.524397,1.27737,0.002425,168.727959,1.297175,97.435931
109.138604,131.953206,-712.460038,0.988735,-0.507979,1.282946,0.00245,168.861337,1.270901,97.244301
111.273792,123.883027,-713.851594,1.038981,-0.493861,1.288297,0.00245,169.004674,1.242223,97.052448
116.337238,117.590133,-721.217707,1.088769,-0.491562,1.285855,0.00245,169.157518,1.212182,96.861114
119.631528,136.869404,-725.405665,1.134586,-0.486329,1.278926,0.00245,169.308109,1.181403,96.670762
128.233285,149.93438,-729.547311,1.169865,-0.476705,1.273339,0.002425,169.456178,1.146688,96.483313
131.527574,172.297594,-739.403353,1.217821,-0.444511,1.265831,0.00245,169.603509,1.108367,96.295686
138.055149,180.149115,-745.8957,1.261042,-0.392019,1.260731,0.002475,169.755398,1.061754,96.108205
140.190337,172.30314,-756.257845,1.312815,-0.322429,1.256974,0.00245,169.916292,1.006012,95.924982
127.074183,150.202058,-765.953194,1.369323,-0.255228,1.252029,0.00245,170.094055,0.947593,95.744271
114.385066,133.047392,-780.441162,1.422471,-0.218331,1.254565,0.002425,170.284392,0.890734,95.566047
107.064422,120.259987,-793.779476,1.466303,-0.22547,1.26293,0.00245,170.487796,0.839032,95.384717
106.515373,105.08291,-807.615621,1.506927,-0.259633,1.267467,0.00245,170.702568,0.793676,95.202037
105.173255,102.07548,-827.119289,1.540068,-0.302604,1.270094,0.00245,170.922994,0.756573,95.018042
111.334797,103.249131,-842.007959,1.561908,-0.336975,1.27819,0.00245,171.14557,0.723359,94.832185
117.191313,100.459606,-854.693136,1.589551,-0.347673,1.286348,0.002425,171.370254,0.690646,94.646931
124.511957,104.023683,-868.018562,1.621928,-0.330579,1.295064,0.00245,171.599769,0.654506,94.458943
127.623231,94.547728,-876.507221,1.653237,-0.297911,1.302255,0.00245,171.836265,0.613928,94.270695
127.135188,116.212247,-881.514265,1.692181,-0.266812,1.306098,0.00245,172.069488,0.570554,94.082465
125.915081,118.280008,-881.781208,1.728682,-0.255994,1.306126,0.00245,172.305932,0.527154,93.894443
120.241581,112.851006,-882.678603,1.773889,-0.283535,1.289783,0.002425,172.547031,0.490804,93.710114
122.925817,115.712059,-887.39639,1.8278,-0.337023,1.272375,0.00245,172.796092,0.462563,93.525377
117.984383,101.273497,-894.229275,1.879879,-0.419738,1.239797,0.00245,173.056524,0.449282,93.343865
112.859932,101.389174,-903.538624,1.940816,-0.519719,1.214621,0.00245,173.324373,0.453384,93.164335
105.783309,101.883142,-916.330918,1.991673,-0.657331,1.187364,0.002475,173.600897,0.481483,92.984806
61.371401,85.422651,-942.060359,-0.293077,0.054345,0.624377,0.2666,168.795923,-2.444441,83.534915
81.686188,82.080711,-930.750643,-0.290634,0.006319,0.625819,0.002475,168.788463,-2.482743,83.44531
101.695949,89.349598,-921.401106,-0.281318,-0.038267,0.619283,0.002425,168.780401,-2.521261,83.357271
122.010737,104.647434,-919.567537,-0.268489,-0.05687,0.616332,0.00245,168.768455,-2.564051,83.268452
140.129331,107.985239,-916.967495,-0.255202,-0.035393,0.615722,0.00245,168.757167,-2.615813,83.180339
158.308931,113.390901,-909.558836,-0.238708,0.009541,0.618104,0.002425,168.74641,-2.679813,83.094082
176.854563,106.571096,-901.32064,-0.218853,0.045149,0.616102,0.0025,168.739478,-2.756015,83.006346
193.570034,101.817449,-900.555769,-0.18785,0.080933,0.603318,0.002425,168.739348,-2.841206,82.923807
210.2245,100.69415,-898.438121,-0.156389,0.122049,0.587863,0.00245,168.743527,-2.937267,82.84363
219.924353,104.530539,-897.162339,-0.120194,0.165341,0.569153,0.00245,168.751253,-3.041514,82.767238
228.831137,107.905712,-896.057394,-0.083387,0.205971,0.54574,0.00245,168.762731,-3.153121,82.695197
236.212787,113.184395,-895.320578,-0.04933,0.234221,0.514247,0.002425,168.776954,-3.269021,82.628987
239.324061,116.431177,-897.942743,-0.017105,0.245299,0.473707,0.00245,168.794305,-3.385961,82.567999
246.034651,114.960173,-903.425961,0.009774,0.246133,0.429352,0.00245,168.815791,-3.502894,82.513049
249.267936,114.1857,-911.878856,0.033447,0.252274,0.383104,0.00245,168.840794,-3.619069,82.464545
252.745242,117.674385,-918.203939,0.052384,0.27387,0.339854,0.002425,168.867023,-3.736352,82.423006
250.976086,117.233591,-924.072133,0.069795,0.304893,0.297873,0.00245,168.895657,-3.855543,82.387598
246.095656,112.938051,-932.473633,0.082318,0.336923,0.256286,0.00245,168.927313,-3.975104,82.358609
239.568082,107.76121,-937.384846,0.093009,0.371956,0.219952,0.00245,168.961872,-4.095384,82.335373
228.831137,107.931199,-943.987035,0.099423,0.409012,0.187701,0.002425,168.99694,-4.21456,82.317656
219.375305,105.666903,-945.019408,0.101256,0.446378,0.161483,0.002475,169.032808,-4.335813,82.30414
208.333333,103.335117,-947.634135,0.101714,0.483144,0.139831,0.002425,169.068976,-4.455637,82.294639
198.816496,99.641704,-949.252348,0.100492,0.515058,0.120806,0.002475,169.106043,-4.577104,82.288306
186.859444,91.262134,-948.523338,0.099118,0.540337,0.103989,0.002425,169.14509,-4.695517,82.284705
173.8653,86.094239,-945.725157,0.099423,0.550397,0.085171,0.002475,169.185612,-4.811828,82.283737
160.688141,80.045796,-938.371275,0.097591,0.541509,0.067557,0.002425,169.227155,-4.920259,82.284656
149.829185,78.187091,-933.919677,0.100187,0.511947,0.049799,0.00245,169.269323,-5.021045,82.287148
138.970229,74.718925,-928.21639,0.104005,0.46124,0.032572,0.00245,169.312763,-5.110541,82.290511
130.124451,70.413415,-921.080316,0.113016,0.390343,0.017826,0.00245,169.358521,-5.186812,82.293869
123.41386,64.314332,-916.182089,0.127524,0.303052,0.006764,0.00245,169.408128,-5.248374,82.296241
120.91264,62.628629,-914.071029,0.143561,0.203108,-0.003187,0.00245,169.460353,-5.294873,82.297308
120.79063,61.033099,-912.878734,0.160818,0.093308,-0.013253,0.002425,169.515177,-5.325624,82.296838
126.342118,64.186039,-914.833639,0.177771,-0.004797,-0.019008,0.00245,169.571325,-5.344577,82.294783
133.601757,70.1861,-921.446937,0.197167,-0.082115,-0.024437,0.00245,169.628045,-5.354793,82.29171
141.654466,72.274284,-927.411235,0.218853,-0.12662,-0.027973,0.00245,169.686944,-5.361165,82.288088
146.5959,69.573521,-938.070443,0.241915,-0.141331,-0.030796,0.002425,169.749611,-5.366687,82.284425
150.988287,68.660495,-944.86399,0.262227,-0.141647,-0.032125,0.00245,169.815505,-5.373063,82.280938
154.282577,69.182421,-952.699513,0.284677,-0.13125,-0.032981,0.00245,169.884137,-5.381476,82.277876
155.502684,76.071126,-962.30009,0.306212,-0.110022,-0.027845,0.00245,169.953374,-5.392724,82.274863
157.332845,82.244944,-970.188514,0.321331,-0.085566,-0.019756,0.00245,170.022575,-5.407599,82.271539
158.796974,85.94993,-976.901491,0.332785,-0.063161,-0.007598,0.00245,170.092081,-5.425856,82.267206
167.27672,78.266698,-989.293276,0.345003,-0.047149,0.005726,0.00245,170.165822,-5.448629,82.261177
172.889214,82.135085,-1002.046038,0.353861,-0.023041,0.015302,0.00245,170.239548,-5.475862,82.25451
179.050756,99.592922,-1008.353056,0.355847,0.014051,0.033728,0.00245,170.307991,-5.509902,82.246694
180.758907,89.875065,-1013.138796,0.35432,0.043447,0.052859,0.00245,170.379199,-5.548577,82.236621
178.86774,85.369812,-1021.714806,0.351265,0.047216,0.06488,0.002425,170.450922,-5.586682,82.224904
183.931186,88.252891,-1024.923564,0.329731,0.01351,0.072818,0.00245,170.519073,-5.621587,82.211286
193.997072,89.685582,-1029.161778,0.306975,-0.033811,0.069249,0.00245,170.583377,-5.652473,82.197113
203.208882,89.679651,-1032.609521,0.285747,-0.073915,0.057647,0.00245,170.644361,-5.679943,82.183644
210.468521,89.461089,-1035.417866,0.262991,-0.09542,0.043661,0.00245,170.70181,-5.705964,82.171642
212.664714,90.910724,-1035.453822,0.245427,-0.101616,0.025266,0.002425,170.755498,-5.731276,82.162202
212.969741,87.029721,-1030.661958,0.227864,-0.104552,0.004341,0.00245,170.807517,-5.755897,82.155457
209.126403,81.229016,-1028.63881,0.211981,-0.11682,-0.018929,0.00245,170.858471,-5.777189,82.151528
206.320156,74.720767,-1024.4005,0.195487,-0.136785,-0.044161,0.00245,170.90844,-5.794512,82.150504
202.171791,74.375418,-1023.729569,0.180062,-0.162976,-0.069599,0.002425,170.955585,-5.806547,82.152414
201.195705,75.721704,-1021.721956,0.164178,-0.174387,-0.092512,0.002475,170.99988,-5.815859,82.157472
204.306979,76.913246,-1021.191838,0.149517,-0.155591,-0.11179,0.002425,171.040842,-5.828648,82.165517
202.720839,75.54277,-1022.82916,0.135772,-0.100079,-0.125752,0.00245,171.079959,-5.847971,82.176814
200.585652,70.155656,-1018.829177,0.118208,-0.003085,-0.13265,0.002475,171.117774,-5.880077,82.19122
191.983895,62.532203,-1010.904797,0.103547,0.109852,-0.138633,0.002425,171.155045,-5.925153,82.208306
179.416789,55.735931,-999.026746,0.092245,0.205536,-0.143956,0.00245,171.192274,-5.980095,82.228193
165.751586,55.85576,-982.706796,0.085525,0.26243,-0.157122,0.00245,171.227738,-6.038902,82.251147
151.049292,58.304362,-968.03377,0.083235,0.283659,-0.174732,0.00245,171.261333,-6.095977,82.27709
144.09468,54.243767,-960.338965,0.090413,0.288646,-0.195995,0.00245,171.29661,-6.151131,82.305947
132.076623,54.040739,-956.000319,0.104463,0.286971,-0.214271,0.002425,171.333325,-6.201225,82.336933
119.99756,56.661397,-954.884361,0.124165,0.294536,-0.226458,0.00245,171.371574,-6.248309,82.3702
110.480722,57.840419,-957.239584,0.149517,0.313946,-0.231631,0.00245,171.412686,-6.294478,82.40461
95.900439,57.653389,-959.915211,0.177007,0.338843,-0.231439,0.00245,171.457491,-6.338939,82.439473
78.025866,52.991325,-963.013838,0.203276,0.357877,-0.224307,0.002425,171.507219,-6.379455,82.473144
65.519766,51.404451,-969.338825,0.233057,0.352723,-0.217046,0.00245,171.561807,-6.415453,82.50597
52.708638,50.393912,-975.716617,0.257493,0.316096,-0.208694,0.002475,171.620457,-6.442521,82.53714
43.496828,48.420555,-985.202639,0.277958,0.260188,-0.199062,0.00245,171.682451,-6.458334,82.565356
39.104441,43.423209,-998.092351,0.292161,0.192353,-0.186736,0.002425,171.747917,-6.463104,82.589963
34.651049,38.397249,-1011.928689,0.300255,0.126163,-0.173397,0.00245,171.816646,-6.457725,82.611467
32.027818,38.063379,-1024.664508,0.303157,0.06607,-0.158628,0.00245,171.886027,-6.443437,82.629698
31.600781,47.389382,-1035.57325,0.299492,0.013001,-0.139701,0.00245,171.952149,-6.422025,82.644578
35.749146,56.908251,-1045.43418,0.287121,-0.029562,-0.116742,0.00245,172.013827,-6.396469,82.655768
36.3592,63.428171,-1052.928122,0.270932,-0.068538,-0.091686,0.002425,172.071179,-6.366312,82.662848
41.056613,71.617041,-1056.584264,0.252147,-0.104801,-0.063484,0.00245,172.123997,-6.333167,82.665702
48.560273,75.541246,-1064.499042,0.227101,-0.136682,-0.034568,0.00245,172.1725,-6.298507,82.664062
63.201562,68.506358,-1068.968803,0.195792,-0.154518,-0.005339,0.00245,172.219027,-6.266465,82.657802
77.171791,67.242902,-1072.39819,0.165858,-0.146654,0.02333,0.00245,172.261948,-6.240328,82.647686
90.104929,62.091102,-1071.538723,0.131037,-0.123559,0.047258,0.002425,172.301425,-6.221963,82.634647
98.401659,64.610014,-1061.172811,0.100951,-0.094436,0.062873,0.00245,172.335843,-6.210642,82.620005
